neighborhood,area,year,elevator,parking,log_value
پونک,160,1379,0,1,6.373319789577012
تهرانپارس غربی,96,1399,1,1,6.111467339502679
یوسف‌آباد,75,1378,0,0,5.583496308781699
آذربایجان,70,1396,1,1,5.69035945432406
نیاوران,154,1398,1,1,7.00397413672268
آهنگ,54,1385,1,1,4.983606621708336
سهروردی,105,1399,1,1,6.516193076042964
صادقیه,70,1390,1,1,5.3981627015177525
پونک,115,1399,1,1,6.878326468291325
سازمان برنامه,100,1388,1,1,6.018593214496234
شهرک غرب,80,1389,1,1,5.942799375126701
نیرو هوایی,155,1383,0,1,6.115892125483034
پاسداران,125,1399,1,1,6.8679744089702925
شهران شمالی,64,1384,0,0,5.638354669333745
سعادت‌آباد,155,1398,1,1,7.3783837129967145
جی,43,1393,1,0,4.875197323201151
سهروردی,115,1398,1,1,6.559615237493242
زعفرانیه,280,1398,1,1,6.2166061010848646
تهران‌نو,57,1394,1,1,5.303304908059076
ولنجک,180,1397,1,1,7.244941546337007
قیطریه,135,1395,1,1,6.947937068614969
هروی,110,1388,1,1,6.255750041753367
قیطریه,165,1388,1,1,6.698268054115413
جردن,242,1371,0,1,6.90875477931522
دارآباد,60,1398,1,1,5.942799375126701
تهرانپارس غربی,90,1393,1,1,5.916202062607435
میرداماد,255,1385,1,1,7.438971592395862
نیاوران,142,1387,1,1,7.00397413672268
سعادت‌آباد,95,1390,1,1,6.68586094706836
شهرک غرب,95,1390,1,1,6.236369590203704
پونک,100,1397,1,1,6.478509642208569
ابوذر (منطقه ۱۵),66,1385,0,0,4.997212273764115
شمس‌آباد,117,1394,1,1,6.398594934535208
سازمان برنامه,115,1398,1,1,6.398594934535208
طوس,40,1381,0,0,4.912654885736052
جیحون,118,1399,1,1,6.111467339502679
اوقاف,65,1395,1,1,5.225746673713202
سهروردی,111,1396,1,1,6.364750756851911
آهنگ,61,1395,1,1,4.983606621708336
پیروزی,80,1387,0,1,5.225746673713202
دروس,110,1385,0,1,6.478509642208569
