neighborhood,n,median_value_m,median_value_per_m2,median_area,full_deposit_share
الهیه,314,1615.0,8.855,195.0,0.258
کامرانیه,78,1350.0,8.551,170.0,0.282
زعفرانیه,290,1705.0,8.333,200.0,0.338
ولنجک,255,1100.0,7.778,145.0,0.306
فرمانیه,320,1400.0,7.647,200.0,0.35
محمودیه,50,1255.0,7.5,160.0,0.26
نیاوران,420,1200.0,7.5,160.0,0.424
دزاشیب,37,850.0,7.368,130.0,0.595
اقدسیه,131,1150.0,7.083,175.0,0.305
دروس,177,1300.0,7.0,175.0,0.367
آجودانیه,65,695.0,6.95,140.0,0.262
سعادت‌آباد,855,800.0,6.667,128.0,0.372
قیطریه,281,810.0,6.538,130.0,0.374
تجریش,37,850.0,6.538,118.0,0.405
پاسداران,267,860.0,6.333,140.0,0.449
شهرک غرب,188,765.0,6.306,120.0,0.394
گیشا (کوی نصر),79,625.0,6.25,100.0,0.595
دارآباد,52,593.0,6.238,95.0,0.423
اختیاریه,102,655.0,6.0,115.0,0.353
ازگل,60,590.0,5.754,101.5,0.3
قلهک,47,535.0,5.714,110.0,0.447
هروی,205,660.0,5.714,115.0,0.39
ونک,70,850.0,5.701,150.0,0.443
میرداماد,113,750.0,5.686,130.0,0.301
جردن,168,760.0,5.317,140.0,0.31
یوسف‌آباد,102,570.0,5.24,120.0,0.363
مرزداران,190,550.0,5.238,105.0,0.358
امیرآباد,47,570.0,5.231,120.0,0.489
اباذر,84,550.0,5.056,107.5,0.357
سهروردی,115,570.0,5.034,110.0,0.461
فاطمی,44,472.5,4.84,91.0,0.568
سوهانک,42,621.5,4.816,130.0,0.286
ظفر,51,490.0,4.815,106.0,0.255
سیدخندان,47,500.0,4.6,110.0,0.298
جنت‌آباد مرکزی,156,487.5,4.529,110.0,0.321
صادقیه,111,440.0,4.5,92.0,0.369
سازمان برنامه,77,410.0,4.5,95.0,0.455
پونک,491,400.0,4.488,85.0,0.324
کوی فردوس,329,370.0,4.463,85.0,0.31
باغ فیض,141,380.0,4.444,85.0,0.418
جنت‌آباد جنوبی,135,420.0,4.361,92.0,0.341
شمس‌آباد,87,380.0,4.344,95.0,0.345
ستارخان,90,350.0,4.237,85.0,0.344
شهران شمالی,52,400.0,4.163,95.5,0.5
جنت‌آباد شمالی,85,390.0,4.083,100.0,0.412
کوهک,40,500.0,4.058,120.0,0.375
شهر زیبا,88,320.0,3.987,85.0,0.364
تهرانپارس غربی,172,347.5,3.979,90.0,0.366
شهرک راه‌آهن,69,490.0,3.833,125.0,0.42
نارمک,142,312.5,3.805,85.0,0.394
دریاچه شهدای خلیج فارس,120,445.0,3.78,116.0,0.35
طرشت,41,290.0,3.718,85.0,0.244
شهران جنوبی,67,355.0,3.692,95.0,0.299
حکیمیه,50,350.0,3.571,94.0,0.52
چیتگر,48,450.0,3.54,116.0,0.438
نیرو هوایی,66,298.5,3.492,85.0,0.455
مجیدیه,38,200.0,3.248,60.0,0.342
اوقاف,37,255.0,3.2,77.0,0.514
تهران‌سر,78,241.5,3.2,70.0,0.41
پیروزی,99,195.0,3.077,67.0,0.455
آذربایجان,44,195.0,2.991,65.0,0.386
جیحون,68,165.0,2.932,60.0,0.456
استاد معین,31,190.0,2.823,65.0,0.581
تهرانپارس شرقی,103,180.0,2.727,68.0,0.388
ابوذر (منطقه ۱۵),32,172.5,2.721,65.0,0.531
سلسبیل,49,150.0,2.603,57.0,0.265
نواب,38,148.0,2.301,65.0,0.211
اندیشه,65,110.0,1.778,65.0,0.631
شهریار,35,110.0,1.4,75.0,0.457
شهر قدس,47,86.0,1.214,78.0,0.489
پردیس,82,113.0,1.204,87.0,0.305
پرند,34,76.25,0.988,84.5,0.647
